sample	pH	Temperature	Salinity	Turbidity	DO	TP	SiO3	NH3	NO2	NO3	Allphyto	EukPhyto	Cyano	HP	Network_complexity	ProkRich	ProtistRich	BenRich	FishRich	Mixotroph	Decomposer	Hard Coral	Primary producer	The primary consumers/Herbivorous fish/detritivore	The secondary consumer groups/ predator	The tertiary consumer	Unknown	Consumer	PC_sum_Phy_noTem	PC_sum_Nutrient	Both
SKLKW2Nov	8.32	23.347	33.113	5.05	7.13	0	0.121	0.001	0.005	0.081	89365.18668	23682.89606	65483.85469	669174.8648	0.490782882	239	260	277	35	5677.260889	7613.6132	24352	16628.49498	11826.7781	21193	0	47.90728901	33019.7781	1.362027999	-0.024842975	30029.26089
SKLKW3Aug	8.13	24.372	34.034	1.96	4.706	0.018	0.194	0	0	0.247	97263.27769	12316.8437	84885.88771	1733567.778	0.471699996	203	197	270	36	2285.772084	3763.883976	19745	18412.0296	27819.64493	26612	0	3500.177981	54431.64493	-0.358418418	0.128665725	22030.77208
SKLKW3Feb	8.075	18.173	33.576	5.325	8.4675	0.023	0.191	0	0.05	0.052	60616.67235	58599.42039	2005.591544	1156886.478	0.868025543	173	145	280	37	880.0685056	10276.91122	20994	41852.43667	22907.32557	27195	9	377.4142909	50111.32557	1.167417229	-0.016253188	21874.06851
SKLKW3May	8.16	24.639	33.833	1.96	7.818	0.031	0.057	0	0.103	0.122	99057.85714	15088.71429	83472.42857	586063.6009	0.345429599	182	252	327	50	3706.176572	3926.719127	17597	20095.70091	11968.42081	26268	0	7880.613509	38236.42081	-1.150335838	-0.022176386	21303.17657
SKLKW3Nov	8.31	23.35566667	33.11366667	5.876666667	7.013	0	0.122	0.001	0.015	0.095	88121.82104	23739.56044	64194.34851	675521.2619	0.54488044	252	254	277	23	10211.01028	6676.633189	27911	19686.50943	29390.2082	17559	0	2466.779412	46949.2082	1.997165439	-0.014103144	38122.01028
SKSha1Aug	8.16	29.4285	33.1265	0.705	7.708	0.017	0.171	0	0	0.364	126257.8595	6719.899666	119423.5786	1026294.034	0.530988643	199	256	288	34	4318.27452	3210.960811	17705	7336.572047	6718.47205	44404	12	479.8081841	51134.47205	-1.968354507	0.204977779	22023.27452
SKSha1Feb	8.16	19.159	33.262	0.8	8.953	0.036	0.116	0	0.012	0.01	38524.85838	38080.40653	427.3575475	997118.1137	0.81797678	154	158	198	58	1696.186214	6753.718992	18541	42035.81492	11565.43323	33926	24	612.5792839	45515.43323	-2.237458425	-0.07938151	20237.18621
SKSha1May	8.16	26.10266667	33.79633333	0.8	8.373333333	0.042	0.059	0	0	0.017	92387.71377	7826.59766	84330.24302	547013.5946	0.248735351	110	257	248	29	1767.462601	1527.904374	17094	10859.57163	12548.98654	38435	0	52.74001302	50983.98654	-2.140059817	-0.098683206	18861.4626
SKSha1Nov	8.27	23.5715	32.8665	1.99	7.5315	0	0.12	0.001	0.008	0.092	92811.78203	18669.80854	73932.10604	347682.3988	0.549608529	261	220	217	20	13679.14703	3013.20938	18544	16993.54192	1151.799446	32263	0	5900.706522	33414.79945	-0.95615071	-0.017170203	32223.14703
SKSha2Aug	8.19	29.7025	33.0595	0.9275	7.22425	0.014	0.222	0	0	0.33	151402.2472	7058.866634	144284.9047	1127097.042	0.55514347	212	258	256	22	4595.3338	3668.518997	20656	6916.736706	3334.792613	45891	2336	16.58951407	51561.79261	-1.672597153	0.201812651	25251.3338
SKSha2Feb	8.13	19.16	33.257	0.5	8.876	0.013	0.095	0	0.014	0.011	38368.62811	37925.89106	436.9872226	939658.3067	0.7812745	148	142	201	61	2343.650641	6996.863081	18027	42353.41264	9111.706004	42544	52	954.4117647	51707.706	-2.436294735	-0.08758352	20370.65064
SKSha2May	8.21	26.13533333	33.79633333	1.206666667	8.352666667	0.011	0.081	0	0.023	0.033	133822.6502	12330.97072	121070.1079	637019.6956	0.274087077	150	254	257	62	2052.302145	2640.119999	17110	15923.62975	15950.10507	36310	4	1937.296781	52264.10507	-1.837207809	-0.077377541	19162.30215
SKSha2Nov	8.29	23.568	32.867	4.55	7.496	0	0.127	0.001	0.005	0.088	98178.77264	17693.51107	80029.37626	399870.4171	0.546077329	231	208	164	12	9633.023383	4936.676829	18891	17347.55364	1452.046888	31376	0	50.67966752	32828.04689	0.925588254	-0.017114807	28524.02338
SKSha3Aug	8.19	28.602	33.3325	2.45	7.312	0.014	0.167	0	0	0.171	132891.4286	5571.428571	127277.1429	1112862.981	0.467173117	213	266	212	24	5178.942374	3605.99672	17868	7550.409521	6332.106108	42905	477	14.89827484	49714.10611	-0.609390013	0.061125962	23046.94237
SKSha3Feb	8.14	19.166	33.26	1.48	8.856	0.006	0.104	0	0.034	0.021	43063.51015	42582.59167	450.4805981	1119373.676	0.699695991	121	180	204	62	3198.548898	7206.505542	18315	39528.41702	3635.541012	43055	3301	221.8848791	49991.54101	-1.714551818	-0.076339515	21513.5489
SKSha3May	8.21	26.025	33.792	1.13	8.534	0	0.082	0	0	0.047	113164.0631	9200.041545	103743.7889	664075.9263	0.301129869	144	229	300	64	1698.462682	1834.809022	19814	13820.25439	30816.5942	17462	58	2651.438384	48336.5942	-1.940174431	-0.066606276	21512.46268
SKSha3Nov	8.3	23.57	32.8685	4.295	7.649	0	0.125	0.001	0	0.081	69632.97872	11157.44681	58226.24113	393107.7245	0.535746041	261	196	240	19	9428.802572	3886.17206	19146	10867.73545	30580.86488	16192	0	3651.641304	46772.86488	0.698985174	-0.023127882	28574.80257
