s	Shannon	Simpson	Richness	Chao1	Ace	pielou	Goods_coverage	Region	Site	Season	Site2	Month	Category
SKBlu1Aug02protist_aftercorrection	3.213801285	0.906549334	250	295.2173913	307.4035353	0.403450705	1	SK	Blu1	Aug	Blu	8	02protist_aftercorrection
SKBlu1Feb02protist_aftercorrection	0.928973217	0.282727818	177	240.3703704	255.408518	0.124400413	1	SK	Blu1	Feb	Blu	2	02protist_aftercorrection
SKBlu1May02protist_aftercorrection	3.325404564	0.924247764	241	356.625	346.915462	0.42025162	1	SK	Blu1	May	Blu	5	02protist_aftercorrection
SKBlu1Nov02protist_aftercorrection	3.345406397	0.928368593	274	349.0857143	342.6009025	0.413113502	1	SK	Blu1	Nov	Blu	11	02protist_aftercorrection
SKBlu2Aug02protist_aftercorrection	4.01612887	0.966407279	256	346.6176471	348.2773822	0.502016109	1	SK	Blu2	Aug	Blu	8	02protist_aftercorrection
SKBlu2Feb02protist_aftercorrection	1.427098715	0.502884205	192	245	248.968774	0.188148421	1	SK	Blu2	Feb	Blu	2	02protist_aftercorrection
SKBlu2May02protist_aftercorrection	3.475873789	0.940667248	246	320.6666667	311.0934326	0.437628888	1	SK	Blu2	May	Blu	5	02protist_aftercorrection
SKBlu2Nov02protist_aftercorrection	3.682740265	0.946183987	270	341.3225806	334.9589342	0.455964386	1	SK	Blu2	Nov	Blu	11	02protist_aftercorrection
SKBlu3Aug02protist_aftercorrection	3.512266346	0.940835637	246	361.1764706	363.6085256	0.442210882	1	SK	Blu3	Aug	Blu	8	02protist_aftercorrection
SKBlu3Feb02protist_aftercorrection	1.22837167	0.406996128	190	220.4411765	229.1398848	0.16227148	1	SK	Blu3	Feb	Blu	2	02protist_aftercorrection
SKBlu3May02protist_aftercorrection	3.509158564	0.944548378	248	324.2413793	329.3393361	0.441170726	1	SK	Blu3	May	Blu	5	02protist_aftercorrection
SKBlu3Nov02protist_aftercorrection	3.376923901	0.928089487	272	323.1081081	324.4173755	0.417550469	1	SK	Blu3	Nov	Blu	11	02protist_aftercorrection
SKLKW1Aug02protist_aftercorrection	2.119195479	0.610627008	239	294.5609756	320.8449299	0.268223162	1	SK	LKW1	Aug	LKW	8	02protist_aftercorrection
SKLKW1Feb02protist_aftercorrection	0.83391255	0.279806928	172	279.25	322.1763088	0.112292327	1	SK	LKW1	Feb	LKW	2	02protist_aftercorrection
SKLKW1May02protist_aftercorrection	3.129198201	0.895520498	256	390.0769231	368.5288541	0.391149775	1	SK	LKW1	May	LKW	5	02protist_aftercorrection
SKLKW1Nov02protist_aftercorrection	2.982791271	0.907592441	265	398.6071429	371.1124459	0.370540048	1	SK	LKW1	Nov	LKW	11	02protist_aftercorrection
SKLKW2Aug02protist_aftercorrection	2.018651663	0.637105816	246	327.1621622	344.7439373	0.254157756	1	SK	LKW2	Aug	LKW	8	02protist_aftercorrection
SKLKW2Feb02protist_aftercorrection	0.910466331	0.333128935	162	213.483871	232.8326789	0.124044269	1	SK	LKW2	Feb	LKW	2	02protist_aftercorrection
SKLKW2May02protist_aftercorrection	3.10524447	0.887816142	255	375	373.4013036	0.38842972	1	SK	LKW2	May	LKW	5	02protist_aftercorrection
SKLKW2Nov02protist_aftercorrection	2.877269016	0.900912046	260	339.4411765	338.1047145	0.358655834	1	SK	LKW2	Nov	LKW	11	02protist_aftercorrection
SKLKW3Aug02protist_aftercorrection	2.022062854	0.627344868	197	262.1	272.4961815	0.265291145	1	SK	LKW3	Aug	LKW	8	02protist_aftercorrection
SKLKW3Feb02protist_aftercorrection	0.564093421	0.171766409	145	185.8333333	210.6631522	0.078565538	1	SK	LKW3	Feb	LKW	2	02protist_aftercorrection
SKLKW3May02protist_aftercorrection	3.371544799	0.920359326	252	329.65625	342.7691364	0.422643411	1	SK	LKW3	May	LKW	5	02protist_aftercorrection
SKLKW3Nov02protist_aftercorrection	2.693462564	0.893782112	254	345.7368421	355.4863618	0.337159704	1	SK	LKW3	Nov	LKW	11	02protist_aftercorrection
SKSha1Aug02protist_aftercorrection	4.009628154	0.963768455	256	314.1842105	329.5273595	0.501203519	1	SK	Sha1	Aug	Sha	8	02protist_aftercorrection
SKSha1Feb02protist_aftercorrection	1.016578462	0.376155904	158	237.5652174	253.4858707	0.139185238	1	SK	Sha1	Feb	Sha	2	02protist_aftercorrection
SKSha1May02protist_aftercorrection	3.741485146	0.954906509	257	338.1621622	348.7938335	0.467357059	1	SK	Sha1	May	Sha	5	02protist_aftercorrection
SKSha1Nov02protist_aftercorrection	2.738556601	0.889245576	220	299.4444444	298.878384	0.351938055	1	SK	Sha1	Nov	Sha	11	02protist_aftercorrection
SKSha2Aug02protist_aftercorrection	3.847050722	0.955199726	258	337.0263158	362.5722803	0.480207414	1	SK	Sha2	Aug	Sha	8	02protist_aftercorrection
SKSha2Feb02protist_aftercorrection	0.741887758	0.231096832	142	208.5	249.9435572	0.103764196	1	SK	Sha2	Feb	Sha	2	02protist_aftercorrection
SKSha2May02protist_aftercorrection	3.27467067	0.919298952	254	340.71875	346.4748204	0.409913621	1	SK	Sha2	May	Sha	5	02protist_aftercorrection
SKSha2Nov02protist_aftercorrection	2.7356754	0.880880024	208	263.0384615	266.2968345	0.355262232	1	SK	Sha2	Nov	Sha	11	02protist_aftercorrection
SKSha3Aug02protist_aftercorrection	4.004837687	0.965205872	266	333.1621622	347.9320286	0.497169121	1	SK	Sha3	Aug	Sha	8	02protist_aftercorrection
SKSha3Feb02protist_aftercorrection	1.017545058	0.330981121	180	279.4	285.96206	0.13582021	1	SK	Sha3	Feb	Sha	2	02protist_aftercorrection
SKSha3May02protist_aftercorrection	3.313751148	0.914647545	229	296	304.337389	0.42271527	1	SK	Sha3	May	Sha	5	02protist_aftercorrection
SKSha3Nov02protist_aftercorrection	3.014448446	0.907274306	196	243	238.1978538	0.395871741	1	SK	Sha3	Nov	Sha	11	02protist_aftercorrection
HKBea1Aug03ben	2.010686855	0.716072414	212	281.75	283.6412215	0.260184725	0.998149562	HK	Bea1	Aug	Bea	8	03ben
HKBea1Feb03ben	3.516376109	0.943376096	265	292.8235294	297.8871168	0.436825126	0.998707631	HK	Bea1	Feb	Bea	2	03ben
HKBea1May03ben	2.574786284	0.828831743	220	263.3333333	246.0980781	0.330891564	0.998825119	HK	Bea1	May	Bea	5	03ben
HKBea1Nov03ben	3.158201076	0.918461377	229	255.4642857	256.8819845	0.402872685	0.998854491	HK	Bea1	Nov	Bea	11	03ben
HKBea2Aug03ben	2.512811894	0.786881791	250	275.0833333	281.4746738	0.315450658	0.998737003	HK	Bea2	Aug	Bea	8	03ben
HKBea2Feb03ben	3.533912665	0.925178595	302	379.5384615	355.6159989	0.428955942	0.99812019	HK	Bea2	Feb	Bea	2	03ben
HKBea2May03ben	2.555340609	0.812364044	253	310.037037	297.7455651	0.320098042	0.998355167	HK	Bea2	May	Bea	5	03ben
HKBea2Nov03ben	2.925195645	0.895516515	209	236.5555556	228.8775526	0.379532807	0.999060095	HK	Bea2	Nov	Bea	11	03ben
HKBea3Aug03ben	2.263609747	0.762361307	206	263.6521739	256.5109662	0.294491588	0.998472655	HK	Bea3	Aug	Bea	8	03ben
HKBea3Feb03ben	3.461717334	0.943225361	249	285.8333333	295.6321486	0.434889007	0.998472655	HK	Bea3	Feb	Bea	2	03ben
HKBea3May03ben	2.403822997	0.776725482	215	239.2307692	240.9579106	0.310243052	0.998942607	HK	Bea3	May	Bea	5	03ben
HKBea3Nov03ben	3.159363796	0.911521809	221	266	260.8446258	0.405675825	0.998648887	HK	Bea3	Nov	Bea	11	03ben
HKSta1Aug03ben	2.833532579	0.885181877	309	351.775	350.7474504	0.342567279	0.99826705	HK	Sta1	Aug	Sta	8	03ben
HKSta1Feb03ben	3.388983462	0.942139642	237	304.7777778	301.7589507	0.429597384	0.998208306	HK	Sta1	Feb	Sta	2	03ben
HKSta1May03ben	2.823081496	0.866990446	272	323.2068966	321.1937534	0.349068868	0.998384539	HK	Sta1	May	Sta	5	03ben
HKSta1Nov03ben	3.165705583	0.900885343	278	313.6363636	310.2264113	0.389916068	0.998560771	HK	Sta1	Nov	Sta	11	03ben
HKSta2Aug03ben	2.618317797	0.86186548	299	344.0238095	346.0459968	0.318375154	0.998178934	HK	Sta2	Aug	Sta	8	03ben
HKSta2Feb03ben	2.793451876	0.831594188	227	242	246.5376759	0.356920024	0.999118839	HK	Sta2	Feb	Sta	2	03ben
HKSta2May03ben	2.753024507	0.876130376	219	270.4761905	264.1301166	0.354096451	0.998619515	HK	Sta2	May	Sta	5	03ben
HKSta2Nov03ben	3.139815229	0.901454037	216	233.7142857	236.8984473	0.404882112	0.999060095	HK	Sta2	Nov	Sta	11	03ben
HKSta3Aug03ben	2.44739246	0.825079489	210	241.7142857	238.7258381	0.317256231	0.998913235	HK	Sta3	Aug	Sta	8	03ben
HKSta3Feb03ben	3.232026614	0.9022484	261	291.9375	293.8350381	0.402598961	0.998678259	HK	Sta3	Feb	Sta	2	03ben
HKSta3May03ben	2.597830934	0.867326719	196	231.25	234.7890941	0.341159543	0.998590143	HK	Sta3	May	Sta	5	03ben
HKSta3Nov03ben	3.453061666	0.936466703	259	286.0384615	283.6290261	0.430727734	0.998883863	HK	Sta3	Nov	Sta	11	03ben
HKSW1Aug03ben	3.541458747	0.944790165	283	322.84375	316.6421465	0.43481981	0.998502027	HK	SW1	Aug	SW	8	03ben
HKSW1Feb03ben	2.798326146	0.874489732	223	322.5263158	288.6984442	0.358718376	0.998178934	HK	SW1	Feb	SW	2	03ben
HKSW1May03ben	3.553927608	0.940547995	256	289.9130435	285.9991055	0.444240951	0.998825119	HK	SW1	May	SW	5	03ben
HKSW1Nov03ben	2.995322345	0.915270613	137	153.6666667	161.0229475	0.421993351	0.999265699	HK	SW1	Nov	SW	11	03ben
HKSW2Aug03ben	2.908124278	0.883097989	295	347.0588235	342.8933962	0.354451711	0.998237678	HK	SW2	Aug	SW	8	03ben
HKSW2Feb03ben	3.638108585	0.944564789	304	340.4285714	342.2560051	0.441093666	0.998502027	HK	SW2	Feb	SW	2	03ben
HKSW2May03ben	3.539686574	0.917444392	291	328.84	322.3601752	0.432466767	0.998707631	HK	SW2	May	SW	5	03ben
HKSW2Nov03ben	1.416764509	0.665184275	79	127.3333333	120.4081432	0.22474838	0.999118839	HK	SW2	Nov	SW	11	03ben
HKSW3Aug03ben	2.338762421	0.787264073	264	312.6176471	320.132869	0.290731954	0.998296422	HK	SW3	Aug	SW	8	03ben
HKSW3Feb03ben	2.959994929	0.917519482	215	324.5	305.2966038	0.38202391	0.997855842	HK	SW3	Feb	SW	2	03ben
HKSW3May03ben	2.914937423	0.856906039	261	299.6071429	302.7557341	0.363100592	0.998619515	HK	SW3	May	SW	5	03ben
HKSW3Nov03ben	3.987106869	0.969898963	251	319.0555556	300.6532317	0.500167482	0.998531399	HK	SW3	Nov	SW	11	03ben
LTCC1Aug03ben	3.038254429	0.899161911	302	359.0967742	350.7355403	0.368791596	0.998237678	LT	CC1	Aug	CC	8	03ben
LTCC1Feb03ben	2.160289199	0.794304602	218	248.9473684	260.2861823	0.278094482	0.998560771	LT	CC1	Feb	CC	2	03ben
LTCC1May03ben	3.010029231	0.883789887	256	305.2142857	298.0075843	0.376253654	0.998443283	LT	CC1	May	CC	5	03ben
LTCC1Nov03ben	3.259806808	0.92806943	224	258.1666667	258.1809376	0.417530244	0.998795747	LT	CC1	Nov	CC	11	03ben
LTCC2Aug03ben	2.18982029	0.828083616	160	208.2352941	195.4382088	0.299077	0.998795747	LT	CC2	Aug	CC	8	03ben
LTCC2Feb03ben	2.326943157	0.828738742	211	258.1153846	259.6708705	0.301374597	0.998531399	LT	CC2	Feb	CC	2	03ben
LTCC2May03ben	2.648412621	0.823140889	303	395.5	364.469375	0.321285542	0.997797098	LT	CC2	May	CC	5	03ben
LTCC2Nov03ben	2.342471715	0.858852742	165	234.1764706	214.512227	0.317997455	0.998560771	LT	CC2	Nov	CC	11	03ben
LTCC3Aug03ben	2.806146233	0.872169554	246	303.1875	301.5997617	0.353307033	0.998208306	LT	CC3	Aug	CC	8	03ben
LTCC3Feb03ben	3.110441705	0.882219281	301	349.8857143	348.8921122	0.377773303	0.99826705	LT	CC3	Feb	CC	2	03ben
LTCC3May03ben	3.17997019	0.908276228	267	302.3333333	314.9123261	0.394503182	0.998443283	LT	CC3	May	CC	5	03ben
LTCC3Nov03ben	2.391725083	0.856733276	136	177.1666667	178.383372	0.337458571	0.998854491	LT	CC3	Nov	CC	11	03ben
LTCMW1Aug03ben	2.524266149	0.84855302	224	266.5	264.939699	0.323318995	0.998502027	LT	CMW1	Aug	CMW	8	03ben
LTCMW1Feb03ben	2.91733241	0.886891911	255	322.5	301.2764517	0.364924122	0.998384539	LT	CMW1	Feb	CMW	2	03ben
LTCMW1May03ben	2.992202668	0.860706088	316	367.0714286	367.1637914	0.360342205	0.998061446	LT	CMW1	May	CMW	5	03ben
LTCMW1Nov03ben	2.944293347	0.887762281	202	222.5172414	226.6975467	0.384462267	0.998971979	LT	CMW1	Nov	CMW	11	03ben
LTCMW2Aug03ben	3.15551639	0.920533674	223	266.5555556	268.5361664	0.404506715	0.998560771	LT	CMW2	Aug	CMW	8	03ben
LTCMW2Feb03ben	3.324116128	0.93333095	260	294.8947368	301.0312333	0.414355986	0.998472655	LT	CMW2	Feb	CMW	2	03ben
LTCMW2May03ben	1.928183192	0.792511841	111	169.5714286	168.5267846	0.283789398	0.998795747	LT	CMW2	May	CMW	5	03ben
LTCMW2Nov03ben	3.076581486	0.902235631	177	202.8333333	202.9243213	0.411990358	0.999089467	LT	CMW2	Nov	CMW	11	03ben
LTCMW3Aug03ben	2.303254189	0.841644532	241	275.4594595	275.52804	0.291076254	0.998502027	LT	CMW3	Aug	CMW	8	03ben
LTCMW3Feb03ben	3.492077712	0.930554483	246	281	291.0941324	0.439669038	0.998531399	LT	CMW3	Feb	CMW	2	03ben
LTCMW3May03ben	2.096046803	0.753625542	187	242.0384615	243.7375259	0.277736334	0.998413911	LT	CMW3	May	CMW	5	03ben
LTCMW3Nov03ben	2.539085771	0.891097037	110	120	129.193825	0.374421337	0.999383187	LT	CMW3	Nov	CMW	11	03ben
LTPC1Aug03ben	4.152104285	0.953871677	349	387.3333333	382.7648251	0.491542959	0.998648887	LT	PC1	Aug	PC	8	03ben
LTPC1Feb03ben	3.158874172	0.869124132	290	332.5	330.7235675	0.386174729	0.998502027	LT	PC1	Feb	PC	2	03ben
LTPC1May03ben	3.033903438	0.883875115	216	242.4	239.0800892	0.391224687	0.999030723	LT	PC1	May	PC	5	03ben
LTPC1Nov03ben	4.180421661	0.964054417	319	338.84	336.1863229	0.50261083	0.999060095	LT	PC1	Nov	PC	11	03ben
LTPC2Aug03ben	3.876311784	0.959556114	317	339.9411765	342.348967	0.466556765	0.998825119	LT	PC2	Aug	PC	8	03ben
LTPC2May03ben	2.597377637	0.81900799	198	223.1071429	230.757672	0.340445173	0.998883863	LT	PC2	May	PC	5	03ben
LTPC2Nov03ben	3.383172992	0.920940781	267	300.2142857	284.188547	0.419712271	0.999089467	LT	PC2	Nov	PC	11	03ben
LTPC3Aug03ben	2.746819945	0.874917497	281	322.6216216	327.0691121	0.337678385	0.998355167	LT	PC3	Aug	PC	8	03ben
LTPC3Feb03ben	3.118541488	0.878080271	301	330.5714286	331.413461	0.378757049	0.998648887	LT	PC3	Feb	PC	2	03ben
LTPC3May03ben	2.429847028	0.758849183	307	362.1	350.1684776	0.294095756	0.998296422	LT	PC3	May	PC	5	03ben
LTPC3Nov03ben	3.786038402	0.93986334	271	285.7727273	285.1955482	0.468444517	0.999236327	LT	PC3	Nov	PC	11	03ben
SKBlu1Aug03ben	3.226475691	0.881923615	285	302.7142857	304.326544	0.395652686	0.999060095	SK	Blu1	Aug	Blu	8	03ben
SKBlu1Feb03ben	2.430581395	0.846041585	241	284.5	292.3482545	0.307167369	0.998296422	SK	Blu1	Feb	Blu	2	03ben
SKBlu1May03ben	1.751612937	0.672421399	249	287.0222222	294.6394335	0.220051823	0.99826705	SK	Blu1	May	Blu	5	03ben
SKBlu1Nov03ben	3.624720331	0.93766153	282	299.1052632	295.1886612	0.445321882	0.999236327	SK	Blu1	Nov	Blu	11	03ben
SKBlu2Aug03ben	2.550103359	0.784075684	283	297.5882353	298.8644991	0.313101334	0.999060095	SK	Blu2	Aug	Blu	8	03ben
SKBlu2Feb03ben	3.615848587	0.94234371	281	303.2	307.4143582	0.444511812	0.998913235	SK	Blu2	Feb	Blu	2	03ben
SKBlu2May03ben	1.582054785	0.63465202	252	309.7777778	305.7912529	0.198320079	0.998090818	SK	Blu2	May	Blu	5	03ben
SKBlu2Nov03ben	3.251363728	0.920269909	240	252.1935484	255.2488158	0.411206363	0.999177583	SK	Blu2	Nov	Blu	11	03ben
SKBlu3Aug03ben	2.899916352	0.836758268	269	294.2	288.8073613	0.359280168	0.998942607	SK	Blu3	Aug	Blu	8	03ben
SKBlu3Feb03ben	3.147227031	0.90609672	276	298.5	297.9818698	0.38813807	0.998942607	SK	Blu3	Feb	Blu	2	03ben
SKBlu3May03ben	2.131268285	0.719795266	288	328.7380952	334.8186083	0.260867546	0.99826705	SK	Blu3	May	Blu	5	03ben
SKBlu3Nov03ben	2.344923528	0.756854686	248	277.64	272.5611834	0.294803326	0.998854491	SK	Blu3	Nov	Blu	11	03ben
SKLKW1Aug03ben	3.365505103	0.923403284	268	295.3636364	300.2530206	0.417241246	0.998737003	SK	LKW1	Aug	LKW	8	03ben
SKLKW1Feb03ben	2.833253085	0.826668206	290	345.4347826	327.0838349	0.346367307	0.998502027	SK	LKW1	Feb	LKW	2	03ben
SKLKW1May03ben	2.960435049	0.82482387	362	402.5263158	401.5774632	0.348292791	0.998355167	SK	LKW1	May	LKW	5	03ben
SKLKW1Nov03ben	3.937626108	0.956816455	287	314.5555556	306.4503653	0.482262216	0.999060095	SK	LKW1	Nov	LKW	11	03ben
SKLKW2Aug03ben	3.473521909	0.920930257	276	290.625	290.1713979	0.428379038	0.999206955	SK	LKW2	Aug	LKW	8	03ben
SKLKW2Feb03ben	3.460683973	0.907482219	295	345.6470588	323.546248	0.421799496	0.998766375	SK	LKW2	Feb	LKW	2	03ben
SKLKW2May03ben	3.344152565	0.888036847	335	366.7941176	365.5163004	0.398682126	0.998619515	SK	LKW2	May	LKW	5	03ben
SKLKW2Nov03ben	4.060249184	0.966896151	277	290.6363636	290.8597346	0.500416343	0.999265699	SK	LKW2	Nov	LKW	11	03ben
SKLKW3Aug03ben	3.035799264	0.850492852	270	296.64	294.0110005	0.375865863	0.998913235	SK	LKW3	Aug	LKW	8	03ben
SKLKW3Feb03ben	3.075796951	0.857679857	280	311.7142857	301.528746	0.378360176	0.998913235	SK	LKW3	Feb	LKW	2	03ben
SKLKW3May03ben	3.555670605	0.894718691	327	350.6363636	351.0289845	0.425668395	0.998825119	SK	LKW3	May	LKW	5	03ben
SKLKW3Nov03ben	4.069829679	0.962297259	277	291.2857143	290.5043274	0.501597117	0.999265699	SK	LKW3	Nov	LKW	11	03ben
SKSha1Aug03ben	2.454292509	0.773339336	288	319.5333333	314.9322774	0.300405758	0.998707631	SK	Sha1	Aug	Sha	8	03ben
SKSha1Feb03ben	2.329163851	0.786101863	198	239.5769231	240.9048171	0.305289681	0.998619515	SK	Sha1	Feb	Sha	2	03ben
SKSha1May03ben	1.911982415	0.694470732	248	311.1034483	308.2197339	0.240374054	0.998208306	SK	Sha1	May	Sha	5	03ben
SKSha1Nov03ben	1.631846388	0.63712033	217	262	251.5698637	0.210247454	0.998648887	SK	Sha1	Nov	Sha	11	03ben
SKSha2Aug03ben	2.7955325	0.833367465	256	305	290.2157832	0.349441562	0.998560771	SK	Sha2	Aug	Sha	8	03ben
SKSha2Feb03ben	2.615379523	0.820958494	201	238.6	251.0692546	0.341832682	0.998590143	SK	Sha2	Feb	Sha	2	03ben
SKSha2May03ben	2.384091877	0.787008548	257	304.3	285.2482737	0.297802109	0.998707631	SK	Sha2	May	Sha	5	03ben
SKSha2Nov03ben	2.280658463	0.761248634	164	201.7142857	195.3122724	0.309975174	0.999030723	SK	Sha2	Nov	Sha	11	03ben
SKSha3Aug03ben	2.836109195	0.824549764	212	269	244.6086264	0.366995133	0.998854491	SK	Sha3	Aug	Sha	8	03ben
SKSha3Feb03ben	2.404990863	0.772135017	204	226.9411765	237.8162103	0.313459011	0.998825119	SK	Sha3	Feb	Sha	2	03ben
SKSha3May03ben	2.694859891	0.848694678	300	340.2272727	345.2439203	0.327490493	0.998237678	SK	Sha3	May	Sha	5	03ben
SKSha3Nov03ben	2.526764533	0.772341092	240	254.7727273	253.6318	0.319564879	0.999236327	SK	Sha3	Nov	Sha	11	03ben
HKBea1Aug04fish	1.483251431	0.552150491	56	56.75	57.46264377	0.255409124	0.999937862	HK	Bea1	Aug	Bea	8	04fish
HKBea1Feb04fish	1.402494889	0.611750998	49	56	55.22931132	0.24978938	0.9998343	HK	Bea1	Feb	Bea	2	04fish
HKBea1May04fish	1.791200676	0.763161997	47	52	51.19193787	0.322472234	0.999896437	HK	Bea1	May	Bea	5	04fish
HKBea1Nov04fish	0.617691663	0.274389199	10	10	10	0.185943719	1	HK	Bea1	Nov	Bea	11	04fish
HKBea2Aug04fish	2.015778462	0.781705837	38	39	39.47052308	0.384109433	0.999958575	HK	Bea2	Aug	Bea	8	04fish
HKBea2Feb04fish	1.802935797	0.811691243	32	33.5	35.35807159	0.360587159	0.99991715	HK	Bea2	Feb	Bea	2	04fish
HKBea2May04fish	1.808953576	0.780733889	51	54	53.67797635	0.318903021	0.99991715	HK	Bea2	May	Bea	5	04fish
HKBea2Nov04fish	0.153882687	0.050717459	9	12	17.57142857	0.048544583	0.999937862	HK	Bea2	Nov	Bea	11	04fish
HKBea3Aug04fish	2.066484582	0.754104631	31	34	34.19485822	0.417118025	0.999937862	HK	Bea3	Aug	Bea	8	04fish
HKBea3Feb04fish	2.244723117	0.861699986	49	49.6	50.5886723	0.399793254	0.999937862	HK	Bea3	Feb	Bea	2	04fish
HKBea3May04fish	1.377281642	0.667428063	36	37	36.55394893	0.266402635	0.999958575	HK	Bea3	May	Bea	5	04fish
HKBea3Nov04fish	2.244501356	0.872648551	31	31	31	0.453050548	1	HK	Bea3	Nov	Bea	11	04fish
HKSta1Aug04fish	1.275744895	0.484956292	61	64	66.16012012	0.2151073	0.999855012	HK	Sta1	Aug	Sta	8	04fish
HKSta1Feb04fish	2.138711265	0.830819703	39	44	46.15177642	0.40464494	0.999896437	HK	Sta1	Feb	Sta	2	04fish
HKSta1May04fish	2.308743929	0.852195795	55	62.5	58.46997381	0.399342723	0.999875725	HK	Sta1	May	Sta	5	04fish
HKSta1Nov04fish	2.118397623	0.836205026	33	33	33.26981303	0.419950855	0.999979287	HK	Sta1	Nov	Sta	11	04fish
HKSta2Aug04fish	1.680109108	0.616916094	56	63	62.24539592	0.289307117	0.9998343	HK	Sta2	Aug	Sta	8	04fish
HKSta2Feb04fish	2.201716404	0.825479782	46	51.6	54.21399177	0.398604455	0.9998343	HK	Sta2	Feb	Sta	2	04fish
HKSta2May04fish	0.99160041	0.356791035	53	56	54.85034602	0.173117001	0.999937862	HK	Sta2	May	Sta	5	04fish
HKSta2Nov04fish	1.350803179	0.717035287	9	9	9	0.426130958	1	HK	Sta2	Nov	Sta	11	04fish
HKSta3Aug04fish	0.549680824	0.169722132	58	59.5	59.14772663	0.093834518	0.999937862	HK	Sta3	Aug	Sta	8	04fish
HKSta3Feb04fish	0.695740191	0.341921107	13	13	13.67911111	0.188015545	0.999979287	HK	Sta3	Feb	Sta	2	04fish
HKSta3May04fish	2.403563002	0.881334567	55	55	55.33728027	0.415743548	0.999979287	HK	Sta3	May	Sta	5	04fish
HKSta3Nov04fish	1.932213605	0.790127662	34	37	35.71242814	0.37979906	0.999937862	HK	Sta3	Nov	Sta	11	04fish
HKSW1Aug04fish	2.653585562	0.837032999	78	89	86.72237435	0.422182299	0.999772162	HK	SW1	Aug	SW	8	04fish
HKSW1Feb04fish	1.416705965	0.660154047	39	39	39.51858725	0.268041278	0.999979287	HK	SW1	Feb	SW	2	04fish
HKSW1May04fish	0.096950895	0.030406996	8	8	8.75	0.032316965	0.999979287	HK	SW1	May	SW	5	04fish
HKSW1Nov04fish	1.624427946	0.783604699	27	29	29.09136095	0.341633308	0.99991715	HK	SW1	Nov	SW	11	04fish
HKSW2Aug04fish	2.715530773	0.90713906	68	69.875	71.49326463	0.446085807	0.999875725	HK	SW2	Aug	SW	8	04fish
HKSW2Feb04fish	1.490263471	0.619267356	40	42.5	43.95078421	0.280023226	0.999896437	HK	SW2	Feb	SW	2	04fish
HKSW2May04fish	2.481250185	0.904676142	48	53.14285714	57.87762451	0.444273383	0.999813587	HK	SW2	May	SW	5	04fish
HKSW2Nov04fish	1.657162519	0.716118434	33	33	33.6484375	0.328515671	0.999979287	HK	SW2	Nov	SW	11	04fish
HKSW3Aug04fish	2.204919317	0.7542071	71	76.6	76.41425419	0.358538209	0.9998343	HK	SW3	Aug	SW	8	04fish
HKSW3Feb04fish	2.46059551	0.892759837	60	69.33333333	63.73683773	0.416563583	0.9998343	HK	SW3	Feb	SW	2	04fish
HKSW3May04fish	2.459115606	0.885874101	43	50	53.21883462	0.453187546	0.9998343	HK	SW3	May	SW	5	04fish
HKSW3Nov04fish	1.515767123	0.608433107	37	37.25	38.4368208	0.290964717	0.999958575	HK	SW3	Nov	SW	11	04fish
LTCC1Aug04fish	1.791168822	0.701354897	76	79	77.11842707	0.286682075	0.99991715	LT	CC1	Aug	CC	8	04fish
LTCC1Feb04fish	2.301634743	0.857007695	62	63.42857143	64.12389729	0.386556745	0.999896437	LT	CC1	Feb	CC	2	04fish
LTCC1May04fish	1.973455679	0.802073768	58	61	61.4496	0.336883251	0.999875725	LT	CC1	May	CC	5	04fish
LTCC1Nov04fish	0.064373516	0.018688194	8	8.5	11	0.021457839	0.999958575	LT	CC1	Nov	CC	11	04fish
LTCC2Aug04fish	1.206255205	0.474347968	61	68.85714286	66.54378955	0.203390428	0.999772162	LT	CC2	Aug	CC	8	04fish
LTCC2Feb04fish	2.434669293	0.88488907	64	65.25	66.06436115	0.405778216	0.999896437	LT	CC2	Feb	CC	2	04fish
LTCC2May04fish	1.769907579	0.738213042	34	36	38.54545455	0.347895923	0.999896437	LT	CC2	May	CC	5	04fish
LTCC2Nov04fish	0.931480866	0.538040771	28	29.5	29.20758782	0.193761618	0.999937862	LT	CC2	Nov	CC	11	04fish
LTCC3Aug04fish	1.388268737	0.499869165	75	75.2	75.7026905	0.222878335	0.999958575	LT	CC3	Aug	CC	8	04fish
LTCC3Feb04fish	2.355331702	0.85654177	60	67	65.64219125	0.398743072	0.9998343	LT	CC3	Feb	CC	2	04fish
LTCC3May04fish	2.202848871	0.810983816	40	45.25	46.5442	0.413919322	0.999855012	LT	CC3	May	CC	5	04fish
LTCC3Nov04fish	1.864324221	0.775646374	28	28.5	30.94444444	0.387806653	0.999958575	LT	CC3	Nov	CC	11	04fish
LTCMW1Aug04fish	1.611500394	0.724983872	68	72	72.80734938	0.264724473	0.999813587	LT	CMW1	Aug	CMW	8	04fish
LTCMW1Feb04fish	2.337130382	0.882106044	63	65.14285714	66.49849735	0.391002331	0.999875725	LT	CMW1	Feb	CMW	2	04fish
LTCMW1May04fish	2.229082144	0.86156848	33	33	33	0.441892939	1	LT	CMW1	May	CMW	5	04fish
LTCMW1Nov04fish	1.566873848	0.752610289	13	13	13.57142857	0.423429097	0.999979287	LT	CMW1	Nov	CMW	11	04fish
LTCMW2Aug04fish	1.778437023	0.767645816	54	67.75	60.85189289	0.309030719	0.999772162	LT	CMW2	Aug	CMW	8	04fish
