allGfishSid	Sample	Value
id138	SKBlu3Nov	0
id138	SKLKW1Aug	4
id138	SKLKW1Feb	17
id138	SKLKW1May	1
id138	SKLKW1Nov	45
id138	SKLKW2Aug	21
id138	SKLKW2Feb	0
id138	SKLKW2May	27
id138	SKLKW2Nov	0
id138	SKLKW3Aug	5
id138	SKLKW3Feb	0
id138	SKLKW3May	87
id138	SKLKW3Nov	0
id138	SKSha1Aug	13
id138	SKSha1Feb	49
id138	SKSha1May	236
id138	SKSha1Nov	4797
id138	SKSha2Aug	0
id138	SKSha2Feb	115
id138	SKSha2May	325
id138	SKSha2Nov	27
id138	SKSha3Aug	0
id138	SKSha3Feb	7792
id138	SKSha3May	37
id138	SKSha3Nov	0
id139	HKBea1Aug	1
id139	HKBea1Feb	3
id139	HKBea1May	0
id139	HKBea1Nov	0
id139	HKBea2Aug	0
id139	HKBea2Feb	122
id139	HKBea2May	0
id139	HKBea2Nov	0
id139	HKBea3Aug	593
id139	HKBea3Feb	0
id139	HKBea3May	4
id139	HKBea3Nov	0
id139	HKSta1Aug	1
id139	HKSta1Feb	0
id139	HKSta1May	4
id139	HKSta1Nov	0
id139	HKSta2Aug	0
id139	HKSta2Feb	1
id139	HKSta2May	4
id139	HKSta2Nov	0
id139	HKSta3Aug	0
id139	HKSta3Feb	0
id139	HKSta3May	0
id139	HKSta3Nov	0
id139	HKSW1Aug	39
id139	HKSW1Feb	0
id139	HKSW1May	0
id139	HKSW1Nov	0
id139	HKSW2Aug	40
id139	HKSW2Feb	0
id139	HKSW2May	1
id139	HKSW2Nov	0
id139	HKSW3Aug	7
id139	HKSW3Feb	0
id139	HKSW3May	717
id139	HKSW3Nov	0
id139	LTCC1Aug	5
id139	LTCC1Feb	17
id139	LTCC1May	0
id139	LTCC1Nov	0
id139	LTCC2Aug	0
id139	LTCC2Feb	0
id139	LTCC2May	0
id139	LTCC2Nov	0
id139	LTCC3Aug	0
id139	LTCC3Feb	1
id139	LTCC3May	0
id139	LTCC3Nov	0
id139	LTCMW1Aug	0
id139	LTCMW1Feb	2
id139	LTCMW1May	0
id139	LTCMW1Nov	0
id139	LTCMW2Aug	0
id139	LTCMW2Feb	0
id139	LTCMW2May	0
id139	LTCMW2Nov	0
id139	LTCMW3Aug	0
id139	LTCMW3Feb	0
id139	LTCMW3May	0
id139	LTCMW3Nov	0
id139	LTPC1Aug	0
id139	LTPC1Feb	0
id139	LTPC1May	0
id139	LTPC1Nov	0
id139	LTPC2Aug	0
id139	LTPC2May	0
id139	LTPC2Nov	0
id139	LTPC3Aug	1
id139	LTPC3Feb	3
id139	LTPC3May	8
id139	LTPC3Nov	0
id139	SKBlu1Aug	0
id139	SKBlu1Feb	0
id139	SKBlu1May	0
id139	SKBlu1Nov	0
id139	SKBlu2Aug	13
id139	SKBlu2Feb	0
id139	SKBlu2May	2
id139	SKBlu2Nov	0
id139	SKBlu3Aug	0
id139	SKBlu3Feb	0
id139	SKBlu3May	1
id139	SKBlu3Nov	0
id139	SKLKW1Aug	0
id139	SKLKW1Feb	0
id139	SKLKW1May	3
id139	SKLKW1Nov	0
id139	SKLKW2Aug	10
id139	SKLKW2Feb	0
id139	SKLKW2May	2
id139	SKLKW2Nov	0
id139	SKLKW3Aug	0
id139	SKLKW3Feb	0
id139	SKLKW3May	280
id139	SKLKW3Nov	0
id139	SKSha1Aug	0
id139	SKSha1Feb	0
id139	SKSha1May	6
id139	SKSha1Nov	51
id139	SKSha2Aug	0
id139	SKSha2Feb	1
id139	SKSha2May	0
id139	SKSha2Nov	0
id139	SKSha3Aug	0
id139	SKSha3Feb	0
id139	SKSha3May	0
id139	SKSha3Nov	0
id14	HKBea1Aug	2
id14	HKBea1Feb	0
id14	HKBea1May	3
id14	HKBea1Nov	0
id14	HKBea2Aug	5
id14	HKBea2Feb	0
id14	HKBea2May	0
id14	HKBea2Nov	1
id14	HKBea3Aug	3
id14	HKBea3Feb	0
id14	HKBea3May	0
id14	HKBea3Nov	0
id14	HKSta1Aug	32
id14	HKSta1Feb	0
id14	HKSta1May	0
id14	HKSta1Nov	0
id14	HKSta2Aug	17
id14	HKSta2Feb	0
id14	HKSta2May	0
id14	HKSta2Nov	0
id14	HKSta3Aug	0
id14	HKSta3Feb	1
id14	HKSta3May	0
id14	HKSta3Nov	9
id14	HKSW1Aug	2
id14	HKSW1Feb	1
id14	HKSW1May	0
id14	HKSW1Nov	0
id14	HKSW2Aug	5
id14	HKSW2Feb	0
id14	HKSW2May	0
id14	HKSW2Nov	0
id14	HKSW3Aug	0
id14	HKSW3Feb	0
id14	HKSW3May	0
id14	HKSW3Nov	0
id14	LTCC1Aug	7
id14	LTCC1Feb	0
id14	LTCC1May	0
id14	LTCC1Nov	0
id14	LTCC2Aug	0
id14	LTCC2Feb	0
id14	LTCC2May	1
id14	LTCC2Nov	3
id14	LTCC3Aug	0
id14	LTCC3Feb	0
id14	LTCC3May	0
id14	LTCC3Nov	0
id14	LTCMW1Aug	1
id14	LTCMW1Feb	2
id14	LTCMW1May	3
id14	LTCMW1Nov	0
id14	LTCMW2Aug	0
id14	LTCMW2Feb	0
id14	LTCMW2May	0
id14	LTCMW2Nov	0
id14	LTCMW3Aug	10
id14	LTCMW3Feb	4
id14	LTCMW3May	0
id14	LTCMW3Nov	0
id14	LTPC1Aug	29
id14	LTPC1Feb	0
id14	LTPC1May	0
id14	LTPC1Nov	4
id14	LTPC2Aug	2
id14	LTPC2May	0
id14	LTPC2Nov	6
id14	LTPC3Aug	5
id14	LTPC3Feb	6
id14	LTPC3May	12
id14	LTPC3Nov	2
id14	SKBlu1Aug	12
id14	SKBlu1Feb	0
id14	SKBlu1May	4
id14	SKBlu1Nov	2
id14	SKBlu2Aug	2
id14	SKBlu2Feb	102
id14	SKBlu2May	2
id14	SKBlu2Nov	0
id14	SKBlu3Aug	19
id14	SKBlu3Feb	6
id14	SKBlu3May	1
id14	SKBlu3Nov	19
id14	SKLKW1Aug	1
id14	SKLKW1Feb	4
id14	SKLKW1May	33
id14	SKLKW1Nov	21
id14	SKLKW2Aug	11
id14	SKLKW2Feb	10
id14	SKLKW2May	14
id14	SKLKW2Nov	11
id14	SKLKW3Aug	0
id14	SKLKW3Feb	1
id14	SKLKW3May	68
id14	SKLKW3Nov	7
id14	SKSha1Aug	2
id14	SKSha1Feb	0
id14	SKSha1May	0
id14	SKSha1Nov	3
id14	SKSha2Aug	3
id14	SKSha2Feb	0
id14	SKSha2May	47
id14	SKSha2Nov	0
id14	SKSha3Aug	0
id14	SKSha3Feb	0
id14	SKSha3May	43
id14	SKSha3Nov	68
id140	HKBea1Aug	0
id140	HKBea1Feb	0
id140	HKBea1May	0
id140	HKBea1Nov	0
id140	HKBea2Aug	0
id140	HKBea2Feb	0
id140	HKBea2May	0
id140	HKBea2Nov	0
id140	HKBea3Aug	0
id140	HKBea3Feb	0
id140	HKBea3May	0
id140	HKBea3Nov	0
id140	HKSta1Aug	0
id140	HKSta1Feb	0
id140	HKSta1May	0
id140	HKSta1Nov	0
id140	HKSta2Aug	0
id140	HKSta2Feb	0
id140	HKSta2May	0
id140	HKSta2Nov	0
id140	HKSta3Aug	0
id140	HKSta3Feb	0
id140	HKSta3May	0
id140	HKSta3Nov	0
id140	HKSW1Aug	0
id140	HKSW1Feb	0
id140	HKSW1May	0
id140	HKSW1Nov	0
id140	HKSW2Aug	0
id140	HKSW2Feb	0
id140	HKSW2May	0
id140	HKSW2Nov	0
id140	HKSW3Aug	0
id140	HKSW3Feb	0
id140	HKSW3May	0
id140	HKSW3Nov	0
id140	LTCC1Aug	0
id140	LTCC1Feb	0
id140	LTCC1May	0
id140	LTCC1Nov	0
id140	LTCC2Aug	0
id140	LTCC2Feb	0
id140	LTCC2May	0
id140	LTCC2Nov	0
id140	LTCC3Aug	0
id140	LTCC3Feb	0
id140	LTCC3May	0
id140	LTCC3Nov	0
id140	LTCMW1Aug	0
id140	LTCMW1Feb	0
id140	LTCMW1May	0
id140	LTCMW1Nov	0
id140	LTCMW2Aug	0
id140	LTCMW2Feb	0
id140	LTCMW2May	0
id140	LTCMW2Nov	0
id140	LTCMW3Aug	0
id140	LTCMW3Feb	0
id140	LTCMW3May	0
id140	LTCMW3Nov	0
id140	LTPC1Aug	0
id140	LTPC1Feb	0
id140	LTPC1May	0
id140	LTPC1Nov	95
id140	LTPC2Aug	0
id140	LTPC2May	0
id140	LTPC2Nov	0
id140	LTPC3Aug	0
id140	LTPC3Feb	0
id140	LTPC3May	0
id140	LTPC3Nov	0
id140	SKBlu1Aug	0
id140	SKBlu1Feb	0
id140	SKBlu1May	0
id140	SKBlu1Nov	0
id140	SKBlu2Aug	18
id140	SKBlu2Feb	0
id140	SKBlu2May	0
id140	SKBlu2Nov	0
id140	SKBlu3Aug	0
id140	SKBlu3Feb	0
id140	SKBlu3May	0
id140	SKBlu3Nov	0
id140	SKLKW1Aug	0
id140	SKLKW1Feb	0
id140	SKLKW1May	0
id140	SKLKW1Nov	103
id140	SKLKW2Aug	0
id140	SKLKW2Feb	0
id140	SKLKW2May	0
id140	SKLKW2Nov	4335
id140	SKLKW3Aug	0
id140	SKLKW3Feb	0
id140	SKLKW3May	0
id140	SKLKW3Nov	17
id140	SKSha1Aug	0
id140	SKSha1Feb	0
id140	SKSha1May	0
id140	SKSha1Nov	0
id140	SKSha2Aug	0
id140	SKSha2Feb	0
id140	SKSha2May	0
id140	SKSha2Nov	0
id140	SKSha3Aug	0
id140	SKSha3Feb	0
id140	SKSha3May	0
id140	SKSha3Nov	0
id141	HKBea1Aug	0
id141	HKBea1Feb	0
id141	HKBea1May	0
id141	HKBea1Nov	0
id141	HKBea2Aug	0
id141	HKBea2Feb	0
id141	HKBea2May	0
id141	HKBea2Nov	0
id141	HKBea3Aug	0
id141	HKBea3Feb	0
id141	HKBea3May	0
id141	HKBea3Nov	0
id141	HKSta1Aug	0
id141	HKSta1Feb	54
id141	HKSta1May	0
id141	HKSta1Nov	0
id141	HKSta2Aug	0
id141	HKSta2Feb	0
id141	HKSta2May	0
id141	HKSta2Nov	0
id141	HKSta3Aug	0
id141	HKSta3Feb	0
id141	HKSta3May	0
id141	HKSta3Nov	0
id141	HKSW1Aug	0
id141	HKSW1Feb	0
id141	HKSW1May	0
id141	HKSW1Nov	0
id141	HKSW2Aug	0
id141	HKSW2Feb	0
id141	HKSW2May	0
id141	HKSW2Nov	0
id141	HKSW3Aug	0
id141	HKSW3Feb	0
id141	HKSW3May	0
id141	HKSW3Nov	0
id141	LTCC1Aug	0
id141	LTCC1Feb	0
id141	LTCC1May	0
id141	LTCC1Nov	0
id141	LTCC2Aug	0
id141	LTCC2Feb	0
id141	LTCC2May	7904
id141	LTCC2Nov	0
id141	LTCC3Aug	0
id141	LTCC3Feb	0
id141	LTCC3May	0
id141	LTCC3Nov	0
id141	LTCMW1Aug	0
id141	LTCMW1Feb	0
id141	LTCMW1May	112
id141	LTCMW1Nov	0
id141	LTCMW2Aug	0
id141	LTCMW2Feb	0
id141	LTCMW2May	114
id141	LTCMW2Nov	0
id141	LTCMW3Aug	0
id141	LTCMW3Feb	0
id141	LTCMW3May	57
id141	LTCMW3Nov	0
id141	LTPC1Aug	0
id141	LTPC1Feb	0
id141	LTPC1May	0
id141	LTPC1Nov	0
id141	LTPC2Aug	0
id141	LTPC2May	0
id141	LTPC2Nov	0
id141	LTPC3Aug	0
id141	LTPC3Feb	0
id141	LTPC3May	0
id141	LTPC3Nov	0
id141	SKBlu1Aug	0
id141	SKBlu1Feb	0
id141	SKBlu1May	0
id141	SKBlu1Nov	0
id141	SKBlu2Aug	0
id141	SKBlu2Feb	0
id141	SKBlu2May	0
id141	SKBlu2Nov	0
id141	SKBlu3Aug	0
id141	SKBlu3Feb	0
id141	SKBlu3May	0
id141	SKBlu3Nov	0
id141	SKLKW1Aug	0
id141	SKLKW1Feb	0
id141	SKLKW1May	0
id141	SKLKW1Nov	0
id141	SKLKW2Aug	0
id141	SKLKW2Feb	131
id141	SKLKW2May	0
id141	SKLKW2Nov	0
id141	SKLKW3Aug	0
id141	SKLKW3Feb	0
id141	SKLKW3May	0
id141	SKLKW3Nov	0
id141	SKSha1Aug	0
id141	SKSha1Feb	0
id141	SKSha1May	0
id141	SKSha1Nov	0
id141	SKSha2Aug	0
id141	SKSha2Feb	0
id141	SKSha2May	0
id141	SKSha2Nov	0
id141	SKSha3Aug	0
id141	SKSha3Feb	0
id141	SKSha3May	0
id141	SKSha3Nov	24
id142	HKBea1Aug	0
id142	HKBea1Feb	0
id142	HKBea1May	0
id142	HKBea1Nov	0
id142	HKBea2Aug	0
id142	HKBea2Feb	0
id142	HKBea2May	0
id142	HKBea2Nov	0
id142	HKBea3Aug	0
id142	HKBea3Feb	0
id142	HKBea3May	0
id142	HKBea3Nov	0
id142	HKSta1Aug	0
id142	HKSta1Feb	0
id142	HKSta1May	0
id142	HKSta1Nov	0
id142	HKSta2Aug	0
id142	HKSta2Feb	0
id142	HKSta2May	0
id142	HKSta2Nov	0
id142	HKSta3Aug	0
id142	HKSta3Feb	0
id142	HKSta3May	0
id142	HKSta3Nov	0
id142	HKSW1Aug	0
id142	HKSW1Feb	0
id142	HKSW1May	0
id142	HKSW1Nov	0
id142	HKSW2Aug	0
id142	HKSW2Feb	0
id142	HKSW2May	0
id142	HKSW2Nov	0
id142	HKSW3Aug	0
id142	HKSW3Feb	0
id142	HKSW3May	0
id142	HKSW3Nov	0
id142	LTCC1Aug	0
id142	LTCC1Feb	0
id142	LTCC1May	0
id142	LTCC1Nov	0
id142	LTCC2Aug	0
id142	LTCC2Feb	0
id142	LTCC2May	0
id142	LTCC2Nov	1
id142	LTCC3Aug	0
id142	LTCC3Feb	0
id142	LTCC3May	0
id142	LTCC3Nov	0
id142	LTCMW1Aug	0
id142	LTCMW1Feb	0
id142	LTCMW1May	0
id142	LTCMW1Nov	0
id142	LTCMW2Aug	0
id142	LTCMW2Feb	0
id142	LTCMW2May	0
id142	LTCMW2Nov	576
id142	LTCMW3Aug	0
id142	LTCMW3Feb	0
id142	LTCMW3May	0
id142	LTCMW3Nov	0
id142	LTPC1Aug	0
id142	LTPC1Feb	0
id142	LTPC1May	0
id142	LTPC1Nov	0
id142	LTPC2Aug	0
id142	LTPC2May	0
id142	LTPC2Nov	0
id142	LTPC3Aug	0
id142	LTPC3Feb	0
id142	LTPC3May	0
id142	LTPC3Nov	0
id142	SKBlu1Aug	0
id142	SKBlu1Feb	0
id142	SKBlu1May	0
id142	SKBlu1Nov	0
id142	SKBlu2Aug	0
id142	SKBlu2Feb	0
id142	SKBlu2May	0
id142	SKBlu2Nov	0
id142	SKBlu3Aug	0
id142	SKBlu3Feb	0
id142	SKBlu3May	0
id142	SKBlu3Nov	0
id142	SKLKW1Aug	0
id142	SKLKW1Feb	0
id142	SKLKW1May	0
id142	SKLKW1Nov	0
id142	SKLKW2Aug	0
id142	SKLKW2Feb	0
id142	SKLKW2May	0
id142	SKLKW2Nov	0
id142	SKLKW3Aug	0
id142	SKLKW3Feb	0
id142	SKLKW3May	0
id142	SKLKW3Nov	0
id142	SKSha1Aug	1
id142	SKSha1Feb	0
id142	SKSha1May	0
id142	SKSha1Nov	0
id142	SKSha2Aug	0
id142	SKSha2Feb	0
id142	SKSha2May	0
id142	SKSha2Nov	0
id142	SKSha3Aug	0
id142	SKSha3Feb	0
id142	SKSha3May	0
id142	SKSha3Nov	0
id143	HKBea1Aug	0
id143	HKBea1Feb	0
id143	HKBea1May	0
id143	HKBea1Nov	0
id143	HKBea2Aug	0
id143	HKBea2Feb	0
id143	HKBea2May	0
id143	HKBea2Nov	0
id143	HKBea3Aug	0
id143	HKBea3Feb	0
id143	HKBea3May	0
id143	HKBea3Nov	0
id143	HKSta1Aug	0
id143	HKSta1Feb	0
id143	HKSta1May	0
id143	HKSta1Nov	7
id143	HKSta2Aug	0
id143	HKSta2Feb	0
id143	HKSta2May	0
id143	HKSta2Nov	0
id143	HKSta3Aug	9
id143	HKSta3Feb	0
id143	HKSta3May	0
id143	HKSta3Nov	71
id143	HKSW1Aug	0
id143	HKSW1Feb	0
id143	HKSW1May	0
id143	HKSW1Nov	0
id143	HKSW2Aug	0
id143	HKSW2Feb	0
id143	HKSW2May	0
id143	HKSW2Nov	33
id143	HKSW3Aug	0
id143	HKSW3Feb	0
id143	HKSW3May	0
id143	HKSW3Nov	39
id143	LTCC1Aug	0
id143	LTCC1Feb	0
id143	LTCC1May	0
id143	LTCC1Nov	0
id143	LTCC2Aug	0
id143	LTCC2Feb	0
id143	LTCC2May	0
id143	LTCC2Nov	0
id143	LTCC3Aug	0
id143	LTCC3Feb	0
id143	LTCC3May	0
id143	LTCC3Nov	85
id143	LTCMW1Aug	0
id143	LTCMW1Feb	0
id143	LTCMW1May	0
id143	LTCMW1Nov	0
id143	LTCMW2Aug	0
id143	LTCMW2Feb	0
id143	LTCMW2May	59
id143	LTCMW2Nov	0
id143	LTCMW3Aug	0
id143	LTCMW3Feb	0
id143	LTCMW3May	0
id143	LTCMW3Nov	1522
id143	LTPC1Aug	0
id143	LTPC1Feb	0
id143	LTPC1May	0
id143	LTPC1Nov	0
id143	LTPC2Aug	0
id143	LTPC2May	0
id143	LTPC2Nov	7
id143	LTPC3Aug	0
id143	LTPC3Feb	0
id143	LTPC3May	0
id143	LTPC3Nov	0
id143	SKBlu1Aug	0
id143	SKBlu1Feb	0
id143	SKBlu1May	0
id143	SKBlu1Nov	0
id143	SKBlu2Aug	0
id143	SKBlu2Feb	0
id143	SKBlu2May	0
id143	SKBlu2Nov	0
id143	SKBlu3Aug	0
id143	SKBlu3Feb	0
id143	SKBlu3May	0
id143	SKBlu3Nov	0
id143	SKLKW1Aug	0
id143	SKLKW1Feb	0
id143	SKLKW1May	0
id143	SKLKW1Nov	0
id143	SKLKW2Aug	0
id143	SKLKW2Feb	0
id143	SKLKW2May	0
id143	SKLKW2Nov	0
id143	SKLKW3Aug	0
id143	SKLKW3Feb	0
id143	SKLKW3May	0
id143	SKLKW3Nov	0
id143	SKSha1Aug	0
id143	SKSha1Feb	0
id143	SKSha1May	0
id143	SKSha1Nov	0
id143	SKSha2Aug	0
id143	SKSha2Feb	0
id143	SKSha2May	0
id143	SKSha2Nov	0
id143	SKSha3Aug	0
id143	SKSha3Feb	0
id143	SKSha3May	0
id143	SKSha3Nov	0
id144	HKBea1Aug	1
id144	HKBea1Feb	0
id144	HKBea1May	0
id144	HKBea1Nov	0
id144	HKBea2Aug	0
id144	HKBea2Feb	0
id144	HKBea2May	53
id144	HKBea2Nov	0
id144	HKBea3Aug	3531
id144	HKBea3Feb	0
id144	HKBea3May	0
id144	HKBea3Nov	0
id144	HKSta1Aug	1
id144	HKSta1Feb	1023
id144	HKSta1May	0
id144	HKSta1Nov	0
id144	HKSta2Aug	0
id144	HKSta2Feb	0
id144	HKSta2May	0
id144	HKSta2Nov	0
id144	HKSta3Aug	39
id144	HKSta3Feb	0
id144	HKSta3May	0
id144	HKSta3Nov	20
id144	HKSW1Aug	805
id144	HKSW1Feb	0
id144	HKSW1May	0
id144	HKSW1Nov	0
id144	HKSW2Aug	5
id144	HKSW2Feb	41
id144	HKSW2May	0
id144	HKSW2Nov	0
id144	HKSW3Aug	14
id144	HKSW3Feb	6
id144	HKSW3May	0
id144	HKSW3Nov	0
id144	LTCC1Aug	16
id144	LTCC1Feb	4
id144	LTCC1May	4
id144	LTCC1Nov	0
id144	LTCC2Aug	4
id144	LTCC2Feb	3
id144	LTCC2May	41
id144	LTCC2Nov	0
id144	LTCC3Aug	65
id144	LTCC3Feb	5
id144	LTCC3May	0
id144	LTCC3Nov	0
id144	LTCMW1Aug	7
id144	LTCMW1Feb	2
id144	LTCMW1May	60
id144	LTCMW1Nov	0
id144	LTCMW2Aug	3
id144	LTCMW2Feb	6
id144	LTCMW2May	129
id144	LTCMW2Nov	0
id144	LTCMW3Aug	5
id144	LTCMW3Feb	2
id144	LTCMW3May	24
id144	LTCMW3Nov	0
id144	LTPC1Aug	0
id144	LTPC1Feb	2397
id144	LTPC1May	0
id144	LTPC1Nov	0
id144	LTPC2Aug	0
id144	LTPC2May	12
id144	LTPC2Nov	0
id144	LTPC3Aug	0
id144	LTPC3Feb	0
id144	LTPC3May	17
id144	LTPC3Nov	0
id144	SKBlu1Aug	0
id144	SKBlu1Feb	0
id144	SKBlu1May	0
id144	SKBlu1Nov	0
id144	SKBlu2Aug	0
id144	SKBlu2Feb	0
id144	SKBlu2May	0
id144	SKBlu2Nov	0
id144	SKBlu3Aug	0
id144	SKBlu3Feb	10
id144	SKBlu3May	0
id144	SKBlu3Nov	0
id144	SKLKW1Aug	0
id144	SKLKW1Feb	0
id144	SKLKW1May	0
id144	SKLKW1Nov	0
id144	SKLKW2Aug	0
id144	SKLKW2Feb	81
id144	SKLKW2May	0
id144	SKLKW2Nov	0
id144	SKLKW3Aug	0
id144	SKLKW3Feb	0
id144	SKLKW3May	0
id144	SKLKW3Nov	0
id144	SKSha1Aug	0
id144	SKSha1Feb	1
id144	SKSha1May	36
id144	SKSha1Nov	0
id144	SKSha2Aug	0
id144	SKSha2Feb	0
id144	SKSha2May	1
id144	SKSha2Nov	0
id144	SKSha3Aug	0
id144	SKSha3Feb	0
id144	SKSha3May	0
id144	SKSha3Nov	0
id145	HKBea1Aug	0
id145	HKBea1Feb	0
id145	HKBea1May	0
id145	HKBea1Nov	0
id145	HKBea2Aug	0
id145	HKBea2Feb	0
id145	HKBea2May	0
id145	HKBea2Nov	0
id145	HKBea3Aug	0
id145	HKBea3Feb	0
id145	HKBea3May	0
id145	HKBea3Nov	0
id145	HKSta1Aug	0
id145	HKSta1Feb	1
id145	HKSta1May	0
id145	HKSta1Nov	0
id145	HKSta2Aug	0
id145	HKSta2Feb	0
id145	HKSta2May	0
id145	HKSta2Nov	0
id145	HKSta3Aug	0
id145	HKSta3Feb	0
id145	HKSta3May	0
id145	HKSta3Nov	0
id145	HKSW1Aug	0
id145	HKSW1Feb	0
id145	HKSW1May	0
id145	HKSW1Nov	0
id145	HKSW2Aug	0
id145	HKSW2Feb	0
id145	HKSW2May	0
id145	HKSW2Nov	0
id145	HKSW3Aug	0
id145	HKSW3Feb	0
id145	HKSW3May	0
id145	HKSW3Nov	0
id145	LTCC1Aug	0
id145	LTCC1Feb	0
id145	LTCC1May	0
id145	LTCC1Nov	0
id145	LTCC2Aug	0
id145	LTCC2Feb	0
id145	LTCC2May	0
id145	LTCC2Nov	0
id145	LTCC3Aug	0
id145	LTCC3Feb	0
id145	LTCC3May	0
id145	LTCC3Nov	0
id145	LTCMW1Aug	0
id145	LTCMW1Feb	0
id145	LTCMW1May	0
id145	LTCMW1Nov	0
id145	LTCMW2Aug	0
id145	LTCMW2Feb	0
id145	LTCMW2May	0
id145	LTCMW2Nov	0
id145	LTCMW3Aug	0
id145	LTCMW3Feb	0
id145	LTCMW3May	0
id145	LTCMW3Nov	0
id145	LTPC1Aug	0
id145	LTPC1Feb	0
id145	LTPC1May	0
id145	LTPC1Nov	0
id145	LTPC2Aug	0
id145	LTPC2May	0
id145	LTPC2Nov	0
id145	LTPC3Aug	0
id145	LTPC3Feb	0
id145	LTPC3May	0
id145	LTPC3Nov	0
id145	SKBlu1Aug	17
id145	SKBlu1Feb	0
id145	SKBlu1May	0
id145	SKBlu1Nov	0
id145	SKBlu2Aug	28
id145	SKBlu2Feb	0
id145	SKBlu2May	0
id145	SKBlu2Nov	0
id145	SKBlu3Aug	0
id145	SKBlu3Feb	0
id145	SKBlu3May	0
id145	SKBlu3Nov	0
id145	SKLKW1Aug	12
id145	SKLKW1Feb	0
id145	SKLKW1May	0
id145	SKLKW1Nov	0
id145	SKLKW2Aug	3915
id145	SKLKW2Feb	0
id145	SKLKW2May	0
id145	SKLKW2Nov	0
id145	SKLKW3Aug	21
id145	SKLKW3Feb	0
id145	SKLKW3May	0
id145	SKLKW3Nov	0
id145	SKSha1Aug	0
id145	SKSha1Feb	0
id145	SKSha1May	0
id145	SKSha1Nov	14
id145	SKSha2Aug	0
id145	SKSha2Feb	0
id145	SKSha2May	0
id145	SKSha2Nov	0
id145	SKSha3Aug	0
id145	SKSha3Feb	0
id145	SKSha3May	0
id145	SKSha3Nov	0
id146	HKBea1Aug	0
id146	HKBea1Feb	1037
id146	HKBea1May	15
id146	HKBea1Nov	0
id146	HKBea2Aug	0
id146	HKBea2Feb	2
id146	HKBea2May	22
id146	HKBea2Nov	0
id146	HKBea3Aug	0
id146	HKBea3Feb	91
id146	HKBea3May	0
id146	HKBea3Nov	0
id146	HKSta1Aug	0
id146	HKSta1Feb	856
id146	HKSta1May	53
id146	HKSta1Nov	0
id146	HKSta2Aug	0
id146	HKSta2Feb	34
id146	HKSta2May	25
id146	HKSta2Nov	0
id146	HKSta3Aug	0
id146	HKSta3Feb	0
id146	HKSta3May	3866
id146	HKSta3Nov	7
id146	HKSW1Aug	0
id146	HKSW1Feb	9
id146	HKSW1May	0
id146	HKSW1Nov	0
id146	HKSW2Aug	0
id146	HKSW2Feb	11
id146	HKSW2May	0
id146	HKSW2Nov	0
id146	HKSW3Aug	0
id146	HKSW3Feb	4
id146	HKSW3May	1
id146	HKSW3Nov	0
id146	LTCC1Aug	0
id146	LTCC1Feb	698
id146	LTCC1May	0
id146	LTCC1Nov	0
id146	LTCC2Aug	0
id146	LTCC2Feb	7
id146	LTCC2May	43
id146	LTCC2Nov	0
id146	LTCC3Aug	0
id146	LTCC3Feb	323
id146	LTCC3May	0
id146	LTCC3Nov	0
id146	LTCMW1Aug	0
id146	LTCMW1Feb	9
id146	LTCMW1May	70
id146	LTCMW1Nov	0
id146	LTCMW2Aug	0
id146	LTCMW2Feb	123
id146	LTCMW2May	98
id146	LTCMW2Nov	0
id146	LTCMW3Aug	0
id146	LTCMW3Feb	11
id146	LTCMW3May	30
id146	LTCMW3Nov	0
id146	LTPC1Aug	0
id146	LTPC1Feb	12
id146	LTPC1May	0
id146	LTPC1Nov	0
id146	LTPC2Aug	0
id146	LTPC2May	5
id146	LTPC2Nov	0
id146	LTPC3Aug	0
id146	LTPC3Feb	3
id146	LTPC3May	0
id146	LTPC3Nov	0
id146	SKBlu1Aug	0
id146	SKBlu1Feb	0
id146	SKBlu1May	0
id146	SKBlu1Nov	0
id146	SKBlu2Aug	0
id146	SKBlu2Feb	0
id146	SKBlu2May	0
id146	SKBlu2Nov	0
id146	SKBlu3Aug	0
id146	SKBlu3Feb	0
id146	SKBlu3May	0
id146	SKBlu3Nov	0
id146	SKLKW1Aug	0
id146	SKLKW1Feb	0
id146	SKLKW1May	0
id146	SKLKW1Nov	0
id146	SKLKW2Aug	0
id146	SKLKW2Feb	83
id146	SKLKW2May	0
id146	SKLKW2Nov	0
id146	SKLKW3Aug	0
id146	SKLKW3Feb	0
id146	SKLKW3May	0
id146	SKLKW3Nov	0
id146	SKSha1Aug	0
id146	SKSha1Feb	15
id146	SKSha1May	0
id146	SKSha1Nov	0
id146	SKSha2Aug	0
id146	SKSha2Feb	144
id146	SKSha2May	0
id146	SKSha2Nov	0
id146	SKSha3Aug	0
id146	SKSha3Feb	17
id146	SKSha3May	0
id146	SKSha3Nov	0
id147	HKBea1Aug	3226
id147	HKBea1Feb	0
id147	HKBea1May	1
id147	HKBea1Nov	0
id147	HKBea2Aug	1444
id147	HKBea2Feb	0
id147	HKBea2May	1
id147	HKBea2Nov	0
id147	HKBea3Aug	1466
id147	HKBea3Feb	3
id147	HKBea3May	0
id147	HKBea3Nov	28
id147	HKSta1Aug	453
id147	HKSta1Feb	0
id147	HKSta1May	359
id147	HKSta1Nov	23
id147	HKSta2Aug	896
id147	HKSta2Feb	0
id147	HKSta2May	7
id147	HKSta2Nov	0
id147	HKSta3Aug	676
id147	HKSta3Feb	0
